Reference Designator,Description,Manufacturer,Manufacturer Part Number,Quantity
R2,Generic Resistor,Generic,Resistor,1
R4,Generic Resistor,Generic,Resistor,1
C1,Generic Capacitor,Generic,Capacitor,1
D2,Generic Zener Diode,Generic,Zener Diode,1
D1,Generic Zener Diode,Generic,Zener Diode,1
U1,ATtiny85/V,Atmel ,ATtiny85/V SOIC,1
U2,CreeÂ® PLCC4 3 in 1 SMD RGB LED CLVBA-FKA,Cree,CLVBA-FKA-CAEDH8BBB7A363,1
J1,USB A plug layout,Upverter,USB-A-PCB,1
R3,Generic Resistor,Generic,Resistor,1
R1,Generic Resistor,Generic,Resistor,1
